=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.19 13:28:36 =~=~=~=~=~=~=~=~=~=~=~=
Tiempo,Estado,Potencia,Termocupla
6880,0,100,920
6890,0,100,921
6900,0,100,921
6910,0,100,921
6920,0,100,922
6930,0,100,922
6940,0,100,922
6950,0,100,922
6960,0,100,923
6970,0,100,923
6980,0,100,924
6990,0,100,924
7000,0,100,924
7010,0,100,925
7020,0,100,925
7030,0,100,925
7040,0,100,926
7050,0,100,926
7060,0,100,926
7070,0,100,926
7080,0,100,926
7090,0,100,927
7100,0,100,927
7110,0,100,927
7120,0,100,928
7130,0,100,928
7140,0,100,928
7150,0,100,928
7160,0,100,929
7170,0,100,929
7180,0,100,930
7190,0,100,930
7200,0,100,930
7210,0,100,931
7220,0,100,931
7230,0,100,931
7240,0,100,931
7250,0,100,932
7260,0,100,932
7270,0,100,932
7280,0,100,933
7290,0,100,933
7300,0,100,934
7310,0,100,934
7320,0,100,934
7330,0,100,934
7340,0,100,935
7350,0,100,935
7360,0,100,936
7370,0,100,937
7380,0,100,937
7390,0,100,937
7400,0,100,938
7410,0,100,938
7420,0,100,939
7430,0,100,939
7440,0,100,939
7450,0,100,940
7460,0,100,940
7470,0,100,941
7480,0,100,941
7490,0,100,941
7500,0,100,941
7510,0,100,942
7520,0,100,942
7530,0,100,942
7540,0,100,943
7550,0,100,943
7560,0,100,943
7570,0,100,943
7580,0,100,944
7590,0,100,944
7600,0,100,945
7610,0,100,945
7620,0,100,945
7630,0,100,946
7640,0,100,946
7650,0,100,947
7660,0,100,947
7670,0,100,947
7680,0,100,947
7690,0,100,948
7700,0,100,949
7710,0,100,949
7720,0,100,949
7730,0,100,950
7740,0,100,950
7750,0,100,950
7760,0,100,950
7770,0,100,951
7780,0,100,951
7790,0,100,951
7800,0,100,952
7810,0,100,952
7820,0,100,952
7830,0,100,953
7840,0,100,953
7850,0,100,953
7860,0,100,954
7870,0,100,954
7880,0,100,954
7890,0,100,955
7900,0,100,955
7910,0,100,955
7920,0,100,956
7930,0,100,956
7940,0,100,956
7950,0,100,957
7960,0,100,957
7970,0,100,958
7980,0,100,958
7990,0,100,958
8000,0,100,959
8010,0,100,959
8020,0,100,959
8030,0,100,959
8040,0,100,960
8050,0,100,960
8060,0,100,960
8070,0,100,961
8080,0,100,961
8090,0,100,962
8100,0,100,962
8110,0,100,962
8120,0,100,963
8130,0,100,963
8140,0,100,963
8150,0,100,964
8160,0,100,964
8170,0,100,965
8180,0,100,965
8190,0,100,965
8200,0,100,966
8210,0,100,966
8220,0,100,966
8230,0,100,966
8240,0,100,967
8250,0,100,967
8260,0,100,967
8270,0,100,968
8280,0,100,968
8290,0,100,968
8300,0,100,969
8310,0,100,969
8320,0,100,969
8330,0,100,970
